"Type","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0045089","positive regulation of innate immune response","77/2030","343/18870",2.31628640496286e-10,4.78752438322324e-08,3.53874754210116e-08,"CYLD/OAS1/IRAK2/ZNFX1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/RIPK2/IFI16/NLRC5/DHX58/PARP9/PELI1/CCL5/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/BCL10/USP15/TRIM5/ZBP1/EP300/TRAF3/OTUD4/LYN/BIRC3/TICAM1/HLA-F/SLC15A3/F2RL1/NFKBIZ/FOSL1/NMI/IKBKE/NOP53/TLR3/CYBA/GPATCH3/TRAF6/IL12A/TNF/IFNB1/SIRT2/PRKCE/EREG/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/CLEC7A/ADAM8/TLR6/BPIFB1/TRIM31/TLR4/ESR1/PAK3/TLR1/TRIM6/NR1H4/COLEC10",77
"GO","GO:0002833","positive regulation of response to biotic stimulus","81/2030","369/18870",2.51893498993259e-10,5.03283210988531e-08,3.72006925355307e-08,"CYLD/OAS1/IRAK2/ZNFX1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/RIPK2/IFI16/NLRC5/DHX58/PARP9/PELI1/CCL5/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/CD274/BCL10/USP15/TRIM5/ZBP1/EP300/TRAF3/OTUD4/LYN/BIRC3/TICAM1/HLA-F/SLC15A3/F2RL1/NFKBIZ/FOSL1/NMI/IKBKE/FBXO38/NOP53/TLR3/CYBA/GPATCH3/KLK7/TRAF6/IL12A/TNF/IFNB1/SIRT2/PRKCE/EREG/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/MIF/CLEC7A/ADAM8/TLR6/BPIFB1/TRIM31/TLR4/ESR1/PAK3/TLR1/TRIM6/NR1H4/COLEC10",81
"GO","GO:0050867","positive regulation of cell activation","85/2030","396/18870",2.98419588458499e-10,5.77008713942014e-08,4.26501883810466e-08,"RARA/THBS1/ABL2/CD24/HES1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/MYD88/LGALS9/DUSP10/CCL2/CD274/BCL10/IL1A/RIF1/GATA3/LYN/TICAM1/BCL6/EFNB2/HLA-F/IL15RA/F2RL1/NFKBIZ/NFATC2/RUNX1/ZNF335/VTCN1/VSIR/CDKN1A/JAK2/CD83/TRAF6/ARID2/IL12A/CD38/TNF/ITGAM/SOCS1/MMP14/NR4A3/IL4I1/NLRP3/EGR3/EPHB2/TNFSF13B/NOD2/MEF2C/TNFRSF14/PCK1/IRS2/RUNX3/SOX4/KITLG/MIF/CLEC7A/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/TLR6/IL7/PRKCQ/IL15/HLX/HLA-DOB/IL33/TLR4/HAVCR1/DDR2/SPTA1/AGER/PDCD1LG2/KMT5C/PRLR/CRLF2/ADORA2B",85
"GO","GO:0034612","response to tumor necrosis factor","63/2030","259/18870",3.33745144709837e-10,6.25146374184613e-08,4.62083327001218e-08,"THBS1/CYLD/ZC3H12A/HES1/NFKB1/GBP1/NR1D1/NFKBIA/TNFAIP3/STAT1/FOS/CX3CL1/TRAF1/CCL5/CXCL8/CCL2/SPATA2/EDN1/GATA3/PTGS2/MAP4K3/TRAF3/NUB1/EXT1/BIRC3/ZFP36/TMSB4X/F2RL1/NFE2L2/JAK2/TRAF6/RIPK1/CCL20/ANKRD1/TNF/KLF2/COL1A1/NKX3-1/CYP1B1/CIB1/HAS2/FOXP1/SIRT1/ZFP36L1/TNFSF13B/ASS1/TNFRSF14/ZNF675/PCK1/H2BC11/TUBA1A/NAIP/VCAM1/FAS/CLDN18/SPHK1/ADAMTS13/HYAL1/ENDOG/NR1H4/SMPD3/PRKN/RORA",63
"GO","GO:0002221","pattern recognition receptor signaling pathway","59/2030","236/18870",3.8680749251259e-10,7.02583063672869e-08,5.19321446885325e-08,"CYLD/OAS1/IRAK2/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/RIPK2/DHX58/PELI1/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/PIK3R1/DDX60/BCL10/USP15/TRAF3/OTUD4/LYN/BIRC3/TICAM1/SLC15A3/F2RL1/NFKBIZ/FOSL1/NMI/NOP53/TLR3/CYBA/GPATCH3/TRAF6/TNF/SIRT2/PRKCE/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/TLR6/BPIFB1/TRIM31/TLR4/ESR1/TLR1/NR1H4/COLEC10",59
"GO","GO:0045088","regulation of innate immune response","89/2030","425/18870",4.33357721980761e-10,7.63984172221377e-08,5.64706703348924e-08,"CYLD/OAS1/IRAK2/N4BP1/SAMHD1/PARP14/ZNFX1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/ISG15/OAS3/STAT2/IFIH1/RIPK2/IFI16/NLRC5/DHX58/USP18/PARP9/PELI1/TRIM21/CCL5/IFI35/MYD88/LGALS9/EIF2AK2/ANKRD17/DUSP10/PUM1/CREBBP/PIK3R1/DDX60/BCL10/USP15/TRIM5/ZBP1/EP300/TRAF3/OTUD4/LYN/BIRC3/TICAM1/HLA-F/SLC15A3/F2RL1/NFKBIZ/USP38/FOSL1/NMI/IKBKE/NOP53/TLR3/CYBA/NFE2L2/GPATCH3/TRAF6/IL12A/TNF/IFNB1/SIRT2/PRKCE/EREG/STING1/NLRP3/NOD2/NOD1/TKFC/NAIP/PRKD1/GBP5/CLEC7A/ADAM8/TLR6/APOE/BPIFB1/TRIM31/TLR4/ESR1/PAK3/TLR1/TRIM6/NR1H4/COLEC10",89
"GO","GO:0001666","response to hypoxia","69/2030","298/18870",4.89757673002305e-10,8.38744997707376e-08,6.19966931027579e-08,"MYC/THBS1/CD24/TMBIM6/FOS/EGR1/PML/BMP2/GATA6/PMAIP1/CREBBP/FOSL2/EDN1/IL1A/EP300/HSP90B1/PTGS2/PLK3/PGK1/CPEB2/EPHA4/NOP53/NFE2L2/ANGPTL4/CD38/TNF/CLDN3/NKX3-1/SIRT2/PRKCE/NDRG1/NR4A2/MMP14/CITED2/SIRT1/ZFP36L1/EGLN3/VEGFC/LIF/ADM/TGFB2/PCK1/LOXL2/DIO3/CYP1A1/SLC2A1/CXCR4/UCP3/SOX4/SDHD/ADAM8/PIN1/VCAM1/ANGPT2/TEK/ACE/PTGIS/DDR2/RYR2/UCP2/AQP1/ADSL/AGER/CASR/LTA/ANG/UCN3/RORA/TIGAR",69
"GO","GO:0051251","positive regulation of lymphocyte activation","74/2030","330/18870",5.46537904091286e-10,9.09985610311991e-08,6.72625157403574e-08,"RARA/ABL2/CD24/HES1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/MYD88/LGALS9/DUSP10/CCL2/CD274/BCL10/IL1A/RIF1/GATA3/LYN/TICAM1/BCL6/EFNB2/HLA-F/IL15RA/NFKBIZ/NFATC2/RUNX1/ZNF335/VTCN1/VSIR/CDKN1A/JAK2/CD83/TRAF6/ARID2/IL12A/CD38/SOCS1/MMP14/IL4I1/NLRP3/EGR3/EPHB2/TNFSF13B/NOD2/MEF2C/TNFRSF14/PCK1/IRS2/RUNX3/SOX4/KITLG/MIF/CLEC7A/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/IL7/PRKCQ/IL15/HLX/HLA-DOB/TLR4/SPTA1/AGER/PDCD1LG2/KMT5C/PRLR",74
"GO","GO:1903037","regulation of leukocyte cell-cell adhesion","82/2030","382/18870",6.12753746562685e-10,9.9266106943155e-08,7.33735567363397e-08,"RARA/ABL2/ZC3H12A/CD24/HES1/KLF4/IRF1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/LGALS9/DUSP10/CCL2/CD274/RC3H1/CD44/IDO1/BCL10/IL1A/GATA3/MARCHF7/LGALS3/SMAD7/IFNL1/LYN/NFAT5/BCL6/EFNB2/NFKBIZ/RUNX1/VTCN1/VSIR/JAK2/CD83/TRAF6/CBLB/ARID2/IL12A/TNF/IFNB1/GCNT1/SOCS1/HAS2/NR4A3/IL4I1/PRDX2/NLRP3/EGR3/TNFSF13B/NOD2/ASS1/TNFRSF14/CHST4/PCK1/LOXL3/RUNX3/RIPOR2/SOX4/ALOX5/IL20RB/KITLG/ADAM8/TNFSF9/LGALS9C/GLI2/VCAM1/ZMIZ1/IL7/PRKCQ/IL15/HLX/HLA-DOB/SPTA1/AGER/PDCD1LG2/CHST2",82
"GO","GO:0007159","leukocyte cell-cell adhesion","87/2030","419/18870",1.06032784842104e-09,1.67252766406203e-07,1.23626590415627e-07,"RARA/ABL2/ZC3H12A/CD24/HES1/KLF4/ICAM1/IRF1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/LGALS9/DUSP10/CCL2/CD274/RC3H1/CD44/IDO1/BCL10/IL1A/GATA3/MARCHF7/LGALS3/SMAD7/IFNL1/EXT1/LYN/NFAT5/BCL6/EFNB2/ITGA5/NFKBIZ/RUNX1/VTCN1/VSIR/JAK2/CD83/TRAF6/CBLB/ARID2/IL12A/TNF/IFNB1/GCNT1/SOCS1/HAS2/NR4A3/IL4I1/PRDX2/NLRP3/EGR3/TNFSF13B/NOD2/ASS1/TNFRSF14/CHST4/PCK1/LOXL3/FERMT3/RUNX3/SELPLG/RIPOR2/SOX4/ALOX5/IL20RB/KITLG/ADAM8/TNFSF9/LGALS9C/GLI2/VCAM1/ZMIZ1/IL7/PRKCQ/IL15/HLX/HLA-DOB/SPTA1/AGER/PDCD1LG2/CHST2",87
"GO","GO:0022407","regulation of cell-cell adhesion","98/2030","493/18870",1.1089030317683e-09,1.70243439162824e-07,1.2583717672696e-07,"RARA/ABL2/ZC3H12A/CD24/HES1/KLF4/IRF1/PLAUR/CX3CL1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/BMP2/ARID1A/LGALS9/DUSP10/CCL2/TJP1/CD274/RC3H1/CD44/IDO1/BCL10/IL1A/GATA3/MARCHF7/LGALS3/SMAD7/IFNL1/LYN/ADAM19/NFAT5/BCL6/EFNB2/SH2B3/NFKBIZ/GTPBP4/RUNX1/VTCN1/VSIR/JAK2/CD83/TRAF6/CBLB/ARID2/IL12A/TNF/IFNB1/GCNT1/SOCS1/HAS2/CITED2/NR4A3/IL4I1/PRDX2/NLRP3/EGR3/TNFSF13B/NOD2/FSTL3/ASS1/TNFRSF14/CHST4/MDGA1/PCK1/ABCA12/LOXL3/FERMT3/RUNX3/ANK3/RIPOR2/SOX4/ALOX5/IL20RB/KITLG/PODXL/ADAM8/TNFSF9/LGALS9C/GLI2/VCAM1/ZMIZ1/FGB/IL7/KIF26B/PRKCQ/IL15/HLX/HLA-DOB/SPTA1/AGER/PDCD1LG2/CHST2",98
"GO","GO:0002764","immune response-regulating signaling pathway","99/2030","500/18870",1.13609235343893e-09,1.70243439162824e-07,1.2583717672696e-07,"CYLD/OAS1/ZC3H12A/IRAK2/CD24/PIK3AP1/RSAD2/NFKB1/OASL/GBP1/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/MAP3K1/PRKD2/RIPK2/DHX58/PELI1/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/RC3H1/FOSL2/BCL10/USP15/GATA3/EP300/TRAF3/LGALS3/OTUD4/LYN/THEMIS2/BIRC3/TICAM1/SLC15A3/PDE4D/ELF1/F2RL1/NFKBIZ/NFATC2/VTCN1/FOSL1/NMI/SPPL3/PIGR/NOP53/TLR3/CYBA/GPATCH3/TRAF6/CBLB/CD38/MAP2K4/TNF/SIRT2/PDE4B/PRKCE/FOXP1/NR4A3/STING1/NLRP3/NOD2/MEF2C/NOD1/EIF2B1/BRAF/TKFC/NAIP/PRKD1/GBP5/IL20RB/CLEC7A/UBASH3A/TLR6/BPIFB1/PRKCQ/TRIM31/TLR4/PSG9/FYB2/ESR1/PAK3/GPLD1/PLA2G6/PHPT1/CACNB4/TLR1/PLCL2/NR1H4/COLEC10",99
"GO","GO:0050673","epithelial cell proliferation","96/2030","480/18870",1.17717328091675e-09,1.72096991361341e-07,1.27207248764534e-07,"MYC/THBS1/FRS2/HES1/NR1D1/TNFAIP3/STAT1/IGFBP3/PRKD2/EPHA2/IL6/RICTOR/PDGFB/DUSP10/CCL2/SOX9/FST/KDM5B/GATA3/ODAM/RREB1/ZFP36/TRIM24/EFNB2/NR4A1/OVOL1/NFKBIZ/EYA1/TCF7L2/F3/ACVR2A/ZEB1/CDKN1A/MAGED1/INTU/IL12A/TNF/BRCA2/FLCN/ZEB2/NKX3-1/THAP1/FGFBP1/MYDGF/EREG/MMP14/HAS2/SIX4/SIRT1/NR4A3/COL8A1/EGR3/WDR13/ZFP36L1/CDKN2B/NOD2/VEGFC/FGF2/ZNF304/MEF2C/TGFB2/MCC/LOXL2/SGPP2/IRS2/FERMT1/OSR2/FAP/RUNX3/SRSF6/PLXNB3/PRKD1/SPINK1/ALOX5/SIX1/JCAD/POLD4/APOE/APLN/HLX/TEK/PTCH1/MTSS1/ESR1/PROX1/FGFR1/HYAL1/ANG/HPN/HOXA5/FGF1/TP63/NKX6-1/CDKN1C/PTN/KLF9",96
"GO","GO:0071356","cellular response to tumor necrosis factor","58/2030","238/18870",1.54419162629357e-09,2.20378204952468e-07,1.62894800878938e-07,"THBS1/CYLD/ZC3H12A/HES1/NFKB1/GBP1/NR1D1/NFKBIA/TNFAIP3/STAT1/FOS/CX3CL1/TRAF1/CCL5/CXCL8/CCL2/SPATA2/EDN1/GATA3/TRAF3/EXT1/BIRC3/ZFP36/TMSB4X/F2RL1/NFE2L2/JAK2/TRAF6/RIPK1/CCL20/ANKRD1/TNF/KLF2/COL1A1/NKX3-1/CYP1B1/CIB1/HAS2/FOXP1/SIRT1/ZFP36L1/TNFSF13B/ASS1/TNFRSF14/ZNF675/PCK1/H2BC11/NAIP/VCAM1/FAS/CLDN18/SPHK1/ADAMTS13/HYAL1/NR1H4/SMPD3/PRKN/RORA",58
"GO","GO:1903039","positive regulation of leukocyte cell-cell adhesion","64/2030","275/18870",1.6652605355846e-09,2.32129573262653e-07,1.71580944780308e-07,"RARA/ABL2/CD24/HES1/MAP3K8/AMBRA1/IL6/RIPK2/ACTB/ANXA1/CCL5/ARID1A/LGALS9/DUSP10/CCL2/CD274/CD44/BCL10/IL1A/GATA3/LYN/NFAT5/BCL6/EFNB2/NFKBIZ/RUNX1/VTCN1/VSIR/JAK2/CD83/TRAF6/ARID2/IL12A/TNF/GCNT1/SOCS1/HAS2/NR4A3/IL4I1/NLRP3/EGR3/TNFSF13B/NOD2/TNFRSF14/CHST4/PCK1/RUNX3/SOX4/ALOX5/KITLG/ADAM8/TNFSF9/GLI2/VCAM1/ZMIZ1/IL7/PRKCQ/IL15/HLX/HLA-DOB/SPTA1/AGER/PDCD1LG2/CHST2",64
"GO","GO:0043122","regulation of canonical NF-kappaB signal transduction","62/2030","265/18870",2.39431810739166e-09,3.26171425811491e-07,2.41092940526591e-07,"ZC3H12A/TNFSF10/PLK2/MAP3K14/NR1D1/PER1/TNFAIP3/TRIM22/STAT1/CX3CL1/RIPK2/PELI1/TRIM21/IFIT5/TRAF1/TRIM38/MYD88/LGALS9/DHX36/ANKRD17/REL/BCL10/IL1A/OPTN/TRIM5/OTUD7B/TRAF3/FBXW11/BIRC3/TICAM1/SECTM1/F2RL1/MIER1/IKBKE/TLR3/LPAR1/TRAF6/RIPK1/BST2/TNF/BRD4/SLC20A1/PRKCE/SIRT1/APOL3/LAMTOR5/NOD2/NOD1/PLEKHG5/LTB/PELI2/GBP7/PRKD1/CLEC7A/TLR6/RFPL1/TLR4/ESR1/TRIM6/NR1H4/PRKN/RORA",62
"GO","GO:0031349","positive regulation of defense response","94/2030","480/18870",5.34404026721656e-09,7.11826163593246e-07,5.26153578589813e-07,"PTGER4/CYLD/OAS1/IRAK2/ZNFX1/PIK3AP1/RSAD2/OASL/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/CX3CL1/IFIH1/IL6/RIPK2/IFI16/NLRC5/DHX58/PARP9/PELI1/CCL5/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/IDO1/BCL10/USP15/OPTN/TRIM5/ZBP1/EP300/PTGS2/TRAF3/OTUD4/LYN/BIRC3/TICAM1/HLA-F/SLC15A3/F2RL1/NFKBIZ/FOSL1/SERPINE1/NMI/IKBKE/NOP53/TLR3/CYBA/GPATCH3/KLK7/ABCC1/TRAF6/IL12A/RIPK1/TNF/IFNB1/C2CD4A/SIRT2/PRKCE/EREG/PDCD4/STING1/NLRP3/NOD2/MEF2C/NOD1/TKFC/NAIP/PRKD1/GBP5/CLEC7A/ADAM8/TLR6/BPIFB1/IL15/TRIM31/IL33/TLR4/ESR1/PAK3/LTA/TLR1/TRIM6/NR1H4/COLEC10/ADORA2B",94
"GO","GO:0019058","viral life cycle","70/2030","321/18870",5.52222892824456e-09,7.19570439041259e-07,5.31877838878292e-07,"OAS1/ZC3H12A/N4BP1/ZNFX1/RSAD2/OASL/ICAM1/ZC3HAV1/IFIT1/LAMP3/ISG15/TRIM22/OAS3/IFIH1/EPHA2/NEDD4/TRIM26/OAS2/IFI16/USP6NL/TRIM21/IFIT5/CCL5/TRIM38/MX1/CXCL8/LGALS9/EIF2AK2/EEF1A1/CCL2/PTX3/TRIM5/SHFL/TMPRSS4/IFITM3/ISG20/EFNB2/IFITM2/ITGA5/CIITA/IFITM1/IFNL3/CH25H/BST2/TNF/IFI27/APOBEC3G/IFNB1/SLPI/LAMTOR5/TNFRSF14/NR5A2/HMGA2/CXCR4/GBP7/SELPLG/APOBEC3B/APOE/MRC1/HS3ST5/RFPL1/TRIM31/HAVCR1/PROX1/ANPEP/TPCN1/ATG16L2/VPS37D/TRIM6/PRKN",70
"GO","GO:1903131","mononuclear cell differentiation","94/2030","481/18870",5.9567120252177e-09,7.59670891045848e-07,5.61518497517162e-07,"RARA/MYC/PTGER4/INHBA/KLF6/BCL3/ZC3H12A/CSF1/RSAD2/IRF1/IRF7/FOS/BATF2/AMBRA1/IL6/RIPK2/IFI16/EGR1/ACTB/ANXA1/ARID1A/LGALS9/DUSP10/HDAC9/PIK3R1/RC3H1/RELB/FOSL2/IL1A/SOCS3/GATA3/JUNB/EP300/IKZF3/SMAD7/IFNL1/LYN/FZD5/DCLRE1C/CMTM7/BCL6/IL15RA/F2RL1/NFKBIZ/RUNX1/VSIR/CHD7/ZEB1/CD83/TRAF6/SP3/ARID2/IL11/IFNB1/PRDM1/TNFRSF9/ITM2A/SOCS1/MMP14/FOXP1/IL4I1/DHRS2/PRDX2/NLRP3/EGR3/ZFP36L1/TNFSF13B/CSF2/CDH17/BRAF/PCK1/LOXL3/MERTK/PREX1/RUNX3/PGLYRP2/SOX4/ADAM8/TNFSF9/GLI2/VCAM1/IL18R1/ZMIZ1/IL7/PBX1/CAMK4/IL15/HLX/PSG9/AGER/HDAC5/PLCL2/ENTPD7/RORA",94
"GO","GO:0072001","renal system development","70/2030","324/18870",8.28901734482694e-09,1.03509104093526e-06,7.65098114131065e-07,"RARA/MYC/CD24/HES1/TIPARP/STAT1/EGR1/BMP2/PDGFB/ARID5B/SOX9/ODC1/GATA3/SMAD7/EXT1/EFNB2/OVOL1/EYA1/NIPBL/EPHA4/MAGED1/ADAMTS1/PRDM1/FLCN/NKX3-1/COL4A1/GCNT1/SDC1/HAS2/SIX4/GZF1/SPRY1/RARB/FGF2/PRICKLE1/ADAMTS6/ASS1/LIF/MEF2C/NOTCH3/TGFB2/GCNT4/MPV17/LRP2/WNT2B/OSR2/SOX4/IFT27/SLIT2/PODXL/GLI2/SIX1/SLC22A1/RET/PDGFA/DCHS1/PBX1/KIF26B/ANGPT2/TEK/PTCH1/ACE/MTSS1/AQP1/PROX1/VANGL2/FGF1/CYP26A1/STRA6/CDKN1C",70
"GO","GO:0030099","myeloid cell differentiation","86/2030","430/18870",8.63764298089677e-09,1.05661289852031e-06,7.81006214964436e-07,"RARA/MYC/INHBA/NEDD9/NR3C1/CSF1/NFKBIA/IRF7/ISG15/STAT1/FOS/KLF10/EPHA2/KMT2E/BATF2/TRIB1/IFI16/ANXA2/PML/BMP2/MYD88/KAT6A/PIK3R1/RELB/FOSL2/GATA3/JUNB/EP300/TESC/LYN/ZFP36/TET2/CREB1/BCL6/CNOT4/BRD1/F2RL1/SH2B3/RUNX1/ACVR2A/MEIS1/TLR3/H4C14/JAK2/TRAF6/SP3/CCR1/RIPK1/SCIN/TNF/KLF2/IL11/NCOA6/TNFAIP6/SOCS1/CIB1/CITED2/FOXP1/SIRT1/DNASE2/DHRS2/ZFP36L1/CDKN2B/FSTL3/LIF/MEF2C/H4C5/CSF2/ZNF675/H4C8/KITLG/ZNF385A/CSF3/TMEM14C/OSTM1/CAMK4/CLDN18/IL15/ERFE/IL33/TLR4/UCP2/HOXA5/TMEM178A/CDKN1C/L3MBTL1",86
"GO","GO:2001233","regulation of apoptotic signaling pathway","81/2030","398/18870",1.03537089330203e-08,1.24120262689047e-06,9.17447597875416e-07,"MYC/THBS1/INHBA/CYLD/TNFSF10/ICAM1/TNFAIP3/PLAUR/TMBIM6/CX3CL1/IFI6/ATF3/PML/TRAF1/IER3/PMAIP1/SKIL/CD44/BCL10/IL1A/USP15/TIMP3/SP100/PTGS2/MARCHF7/LGALS3/PHIP/RTKN2/EYA1/TCF7L2/CTTN/BDNF/SERPINE1/EYA4/NFE2L2/MAGED1/JAK2/PYCR1/RIPK1/TNF/IFNB1/FLCN/NKX3-1/TRAP1/BDKRB2/NR4A2/BBC3/SIRT1/PRDX2/CSF2/LTB/MAPK8IP2/MNT/ITPRIP/NOS3/TMEM161A/NFATC4/MIF/CTSV/ZNF385A/PLEKHF1/FAS/SNAI1/TLR6/FGB/BCL2L14/NDUFA13/RET/IL7/TXNDC12/ADCY10/TLR4/MUC1/DAPK2/MSX1/FGFR1/GATA4/TP63/CREB3L1/RNF183/PRKN",81
"GO","GO:0002757","immune response-activating signaling pathway","92/2030","473/18870",1.09995711711154e-08,1.29277312940521e-06,9.55566461490703e-07,"CYLD/OAS1/ZC3H12A/IRAK2/PIK3AP1/RSAD2/NFKB1/OASL/GBP1/NR1D1/NFKBIA/TNFAIP3/IRF1/IRF7/OAS3/IFIH1/PRKD2/RIPK2/DHX58/PELI1/IFI35/MYD88/EIF2AK2/ANKRD17/PUM1/CREBBP/PIK3R1/DDX60/RC3H1/FOSL2/BCL10/USP15/GATA3/EP300/TRAF3/LGALS3/OTUD4/LYN/THEMIS2/BIRC3/TICAM1/SLC15A3/PDE4D/ELF1/F2RL1/NFKBIZ/NFATC2/VTCN1/FOSL1/NMI/SPPL3/NOP53/TLR3/CYBA/GPATCH3/TRAF6/CBLB/CD38/TNF/SIRT2/PDE4B/PRKCE/FOXP1/NR4A3/STING1/NLRP3/NOD2/MEF2C/NOD1/EIF2B1/BRAF/TKFC/NAIP/PRKD1/GBP5/CLEC7A/UBASH3A/TLR6/BPIFB1/TRIM31/TLR4/FYB2/ESR1/PAK3/GPLD1/PLA2G6/PHPT1/CACNB4/TLR1/PLCL2/NR1H4/COLEC10",92
"GO","GO:0001822","kidney development","68/2030","314/18870",1.22176226334295e-08,1.40831596278416e-06,1.04097112680374e-06,"RARA/MYC/CD24/HES1/TIPARP/STAT1/EGR1/BMP2/PDGFB/ARID5B/SOX9/ODC1/GATA3/SMAD7/EXT1/EFNB2/OVOL1/EYA1/NIPBL/EPHA4/MAGED1/ADAMTS1/PRDM1/FLCN/NKX3-1/GCNT1/SDC1/HAS2/SIX4/GZF1/SPRY1/RARB/FGF2/ADAMTS6/ASS1/LIF/MEF2C/NOTCH3/TGFB2/GCNT4/MPV17/LRP2/WNT2B/OSR2/SOX4/IFT27/SLIT2/PODXL/GLI2/SIX1/SLC22A1/RET/PDGFA/DCHS1/PBX1/KIF26B/ANGPT2/TEK/PTCH1/ACE/MTSS1/AQP1/PROX1/VANGL2/FGF1/CYP26A1/STRA6/CDKN1C",68
"GO","GO:0035456","response to interferon-beta","17/2030","34/18870",1.2548988172327e-08,1.41921953028167e-06,1.04903061007596e-06,"OAS1/PNPT1/IRF1/STAT1/IFI16/SHFL/IFITM3/IFITM2/XAF1/IFITM1/IKBKE/TLR3/BST2/IFNB1/STING1/NDUFA13/TRIM6",17
"GO","GO:0001763","morphogenesis of a branching structure","50/2030","203/18870",1.4036861579714e-08,1.55809163534826e-06,1.15167934481513e-06,"MYC/CSF1/FRS2/EPHA2/PML/BMP2/SOX9/GRHL2/EDN1/KDM5B/SOCS3/SPRY2/EXT1/FZD5/SETD2/EYA1/TNC/TMED2/GNA13/MAGED1/TNF/PRDM1/NKX3-1/COL4A1/MMP14/SIX4/GZF1/SPRY1/FGF2/ADM/WNT2B/TBX3/NFATC4/SLIT2/GLI2/SIX1/PDGFA/DCHS1/PBX1/TBX20/HOXB13/GBX2/PTCH1/ESR1/PROX1/CASR/HOXA5/FGF1/TP63/DLX2",50
"GO","GO:0050863","regulation of T cell activation","78/2030","381/18870",1.47924848209154e-08,1.6121118912103e-06,1.19160896863603e-06,"RARA/ABL2/ZC3H12A/CD24/HES1/IRF1/MAP3K8/AMBRA1/IL6/RIPK2/PELI1/ACTB/ANXA1/CCL5/ARID1A/LGALS9/DUSP10/CCL2/CD274/RC3H1/IDO1/BCL10/IL1A/GATA3/JUNB/MARCHF7/LGALS3/SMAD7/IFNL1/LYN/BCL6/EFNB2/NFKBIZ/RUNX1/VTCN1/VSIR/ZEB1/JAK2/CD83/TRAF6/CBLB/ARID2/IL12A/IFNB1/PRDM1/TNFRSF9/SOCS1/IL4I1/PRDX2/NLRP3/EGR3/TNFSF13B/NOD2/TNFRSF14/BRAF/PCK1/LOXL3/RUNX3/RIPOR2/SOX4/IL20RB/KITLG/ADAM8/TNFSF9/LGALS9C/GLI2/VCAM1/ZMIZ1/IL7/CAMK4/PRKCQ/IL15/HLX/HLA-DOB/PSG9/SPTA1/AGER/PDCD1LG2",78
"GO","GO:0002753","cytosolic pattern recognition receptor signaling pathway","40/2030","146/18870",1.65120892915202e-08,1.76738327166736e-06,1.30637939526332e-06,"CYLD/OAS1/PIK3AP1/RSAD2/OASL/NFKBIA/TNFAIP3/IRF7/OAS3/IFIH1/RIPK2/DHX58/PELI1/MYD88/EIF2AK2/ANKRD17/PUM1/DDX60/USP15/BIRC3/TICAM1/SLC15A3/F2RL1/NOP53/TLR3/GPATCH3/TRAF6/TNF/SIRT2/STING1/NLRP3/NOD2/NOD1/TKFC/PRKD1/GBP5/TLR6/TRIM31/TLR4/NR1H4",40
"GO","GO:0035710","CD4-positive, alpha-beta T cell activation","35/2030","119/18870",1.78921236483084e-08,1.88149805522738e-06,1.39072850296824e-06,"RARA/PTGER4/BCL3/ZC3H12A/RSAD2/IL6/RIPK2/ANXA1/LGALS9/CD274/RC3H1/RELB/SOCS3/GATA3/JUNB/SMAD7/BCL6/NFKBIZ/RUNX1/VSIR/CD83/CBLB/SOCS1/FOXP1/NLRP3/BRAF/LOXL3/RUNX3/LGALS9C/IL18R1/PRKCQ/HLX/AGER/ENTPD7/RORA",35
